m,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CDW,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DOCU,DLTR,EBAY,EA,EXC,EXPE,FB,FAST,FISV,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KLAC,KHC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,PDD,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,XLNX
5,0.0,0.18156910778234822,0.0,0.0,0.0,0.0,0.0,0.32429760125562795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18042667573272836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19326186025220785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12044475497708754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.19676881226471918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479310182397423,0.0,0.02943582526774136,0.0,0.0,0.0,0.0,0.0,0.0,0.0903661503314884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3480047077788921,0.0,0.0,0.0,0.0,0.0,0.09670746211082085,0.0,0.0,0.0,0.0,0.0176663363329508,0.0,0.0,0.03322296986135501,0.0,0.0,0.0,0.0609882942415161,0.0,0.0,0.07890842357077403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.015249788207930897,0.0655851788188345,0.0,0.012777039079464056,0.0,0.0,0.11617470679467544,0.14959644705714883,0.06203022576690112,0.0,0.0,0.11553374915108391,0.0,0.032901310695304206,0.0022518867358344466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09115763960439999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984701608837478,0.0,0.07066470620755988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04914558669688041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00890765862814888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06148954732923419,0.0,0.0,0.0,0.0,0.0,0.0,0.010687587753245327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03737678058960662
30,0.012406571520364751,0.03657068610665251,0.0,0.014929088024934652,0.0,0.10269443975295667,0.0,0.13430999272564778,0.031614383616708354,0.016501971904814783,0.0,0.10808940669354304,0.02138702866547718,0.0,0.0,0.02771158732201972,0.0,0.013509165402981626,0.009620616671272578,0.0,0.0,0.008629973692519728,0.0,0.0,0.04535203706594546,0.0,0.0,0.04087023248191364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027804170841811776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277251799409106,0.010111093020528159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02867739725637527,0.0038547159873560705,0.0,0.0,0.10661731517906493,0.0,0.0,0.0,0.0,0.0,0.020345330613745712,0.0,0.0,0.0,0.0,0.035329765529579074,0.06339388925197825,0.0,0.0,0.0,0.0,0.0,0.026819243429851574,0.012580607037591273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012379801019500498,0.0001643092439546293
40,0.005024951035777226,0.012494423185778343,0.0,0.0,0.0,0.11738727311093987,0.0,0.0,0.022194386517004637,0.0,0.0,0.10280954191217043,0.0,0.0005663878668172681,0.0,0.0,0.0,0.00993727086242125,0.0,0.02627491010067351,0.0,0.0,0.0,0.0,0.0,0.026224471224560605,0.0,0.03415901708922617,0.0,0.0,0.0,0.0,0.0,0.02280660259898239,0.0,0.0,0.014677548098913248,0.0,0.009997697743032668,0.0,0.0,0.07798416029591969,0.0041372432805036686,0.0,0.0,0.008255134600578489,0.0019615393553157417,0.0050883785351332955,0.0,0.01197708947934538,0.0,0.012786949805399933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03364739399876311,0.013777130005245001,0.013445544393826846,0.0,0.16443358076313755,0.0,0.0,0.0,0.0,0.0,0.03240223376523511,0.00912365196144618,0.0,0.0,0.007391943243888004,0.0,0.06425625900141228,0.0,0.012675787387441618,0.0,0.0,0.0,0.007623687697662273,0.0,0.0,0.018641896871800366,0.004236448860603068,0.0,0.0,0.01583968125473431,0.025403683839497825,0.0,0.0,0.035151516723702224,0.0,0.015204583533110532,0.0,0.0,0.0,0.0,0.0
50,0.00628531322485174,0.054093290361878536,0.004264352233044144,0.0,0.0,0.025714882829841936,0.0716487022845592,0.12522661817084305,0.002002560426290854,0.0,0.0,0.10095239762904488,0.028717814400285493,0.006308133921567293,0.006983694412004457,0.021801848096554857,0.00841973618371448,0.005642035068417526,0.0,0.008612180479407918,0.025197452495836156,0.0044029161840641665,0.008279894811767372,0.0,0.015437342689904345,0.0,0.02393063281004403,0.035156159245542475,0.008878739446887239,0.0,0.04007840020542095,0.0,0.01326190781371569,0.0,0.0057950867399650455,0.0007346790276719086,0.006806344893296638,0.01919797458428894,0.003791544785262858,0.0,0.014293005687918189,0.04678278150533583,0.0,0.009440843537233491,0.0,0.00016467879414883293,0.0109916955563674,0.013793472584702041,0.04671237540195889,0.0,0.0,0.0,0.0,0.0,0.0,0.0008665889816706085,0.0,0.0,0.0,0.0,0.0,0.0,0.012826662592334483,0.03976176052680926,0.0,0.0,0.006273756596435108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04128670850638139,0.0,0.0,0.012295533310830732,0.0027970102457294884,0.0,0.009318254056327736,0.0,0.0,0.0,0.010523686163776415,0.0023410692673783012,0.0,0.005460250095488019,0.008255843741750922,0.0,0.004266221848161206,0.0,0.0,0.0,0.01392516554328741,0.0,0.0,0.0,0.0
60,0.0,0.034454642332933216,0.002985468360207308,0.003072248912342684,0.004068341457401799,0.0,0.09639709070124225,0.12535210201443972,0.007185190775228407,0.0,0.013916524543340268,0.10783960140823186,0.004201223403827356,0.007997158145800636,0.0013381093451502353,0.019039596429325494,0.0063135168577560345,0.004757113298638434,0.0,0.020304462991443093,0.028603842118223075,0.0014197333762258127,0.0,0.0,0.008712564678274581,0.0,0.010722280148752728,0.033321102336994,0.009095852186718505,0.006783345017273674,0.032347399500845433,0.0,0.027327549292138487,0.012505015203425363,0.0,0.0,0.006385499174694023,0.0,0.002057748030176087,0.0,0.0,0.05046483297130858,0.0009675259969493863,0.0013310134342113394,0.014124251311457031,0.0,0.011537337844445562,0.004926870766615493,0.0438306412539878,0.0012516019032185383,0.007009387298457883,0.005688504732949957,0.009237798878618062,0.002996432024100381,0.007225827807391639,0.0,0.007529233871237024,0.0,0.0,0.0,0.0,0.0,0.01630633424159259,0.0,0.0,0.024193807675359284,0.0,0.0,0.021424201784947694,0.0,0.0,0.0,0.0,0.0434920092162942,0.0,0.0,0.0,0.0,0.0,0.01468055983157379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007937276938333314,0.006136625744860707,0.010746748463443367,0.0,0.0,0.0,0.021616208213227118,0.009918323670156241,0.009718186794195782,0.007204135290016816,0.0,0.0,0.0
70,0.007658503371728328,0.021766055875742818,0.004196994084191213,0.004856541224573579,0.0,0.08918995470151521,0.0,0.10016580470965258,0.015500924224906102,0.0,0.0,0.10258389145301568,0.007017546228604956,0.0032557362736155586,0.004177290869314508,0.019713896717770425,0.003292784358796634,0.007684931315586166,0.002268587357477615,0.011267764146293872,0.010626571229246495,0.006916360910197309,0.0,0.0,0.009237428352490395,0.0,0.004179940239899821,0.028178324869706572,0.0073352598512132355,0.004554474936639276,0.0276046915973293,0.0,0.0,0.009661285855790135,0.0019116585623508578,0.0,0.0,0.011624855801130962,0.001299098030309716,0.0,0.0,0.045542941051971444,0.003737267982185866,0.0,0.017594137444757463,0.001165846584606318,0.004774477638588657,0.0052636192445791475,0.03076513647327914,0.005229622040790159,0.010607622861949753,0.004309494030101743,0.0,0.0067192092052446055,0.0029073044978478943,0.0,0.002251191333906157,0.0012465939959445946,0.008690196963644637,0.008491828645333814,0.0005918355785387098,0.005199200570068892,0.006339436901231981,0.1077269668531436,0.0,0.027138271145157586,0.0032038712773046294,0.0007124754646616301,0.015895383203508424,0.012162215789613483,0.0,0.007570777464669419,0.004321661238586492,0.0,0.021013954200003685,0.0,0.0,0.010998468070822802,0.0,0.0049658067149470735,0.0,0.0068913234695523835,0.0,0.0,0.0056099852338970715,0.0,0.009692464592566445,0.0,0.005911394800067503,0.013389567292165802,0.0,0.0027925542124844814,0.0,0.013998139346427336,0.0,0.011137057824900275,0.0,0.0,0.008633587843176752,0.007079953768682847
80,0.004985968018021011,0.020887656569023066,0.005176040493205678,0.0025630493636049807,0.0,0.08039539202390417,0.006579022799791617,0.10086425547300631,0.012245074365124035,0.0,0.0,0.09854830028476697,0.0,0.0,0.004757961828212054,0.01985373879871649,0.0024211209716289207,0.003341263284275889,0.0,0.012515181139086614,0.01331784533824788,0.0037271366849705606,0.0,0.0,0.008492764164072297,0.0,0.007179058559554228,0.027172696969455186,0.0057861427809767114,0.004849149622064345,0.02686602368133912,0.0,0.010782951198396298,0.013519811953000622,0.002922371647638142,0.0,0.0060322389414040846,0.007887967930665556,0.0032041048669706105,0.005084915548189667,0.00275362506084327,0.04669648827391782,0.000694508108001242,0.0031836082442573705,0.014216085337925516,0.003157175407810385,0.006369254488331046,0.0048523228550951215,0.03262215713804436,0.0077283142394998115,0.00969400692539436,0.003237232262966512,0.0033016887320702283,0.007011542005129776,0.008905590027937522,0.0,0.0011112629521289438,0.0027044938507431956,0.00853788639172671,0.016059587315712654,0.002354677179701685,0.0033347196709839983,0.006623140399157097,0.09607859715032863,0.001246091547263488,0.011098372335644608,0.0,0.0018684674668879588,0.01701793883405313,0.009265389752253956,0.00051004273612816,0.0027868472609511976,0.007405634007273981,0.0018061753758582746,0.02248075119797973,0.01768465085839173,0.0,0.01282812227436534,0.012129128941979294,0.0014234589067212131,0.0,0.005804623154988089,0.0,0.0,0.011990716962045603,0.0,0.010021610427010563,0.002520021614817801,0.007916947607717438,0.012200119301239098,0.002099256527078771,0.0036231638895220146,0.0,0.0,0.0,0.007777421795595756,0.0030616726201657166,0.0002462052870469157,0.0,0.0
90,0.0042398184230705285,0.01714743455484694,0.00403023945130279,0.002460726339855615,0.0,0.056994386513923974,0.02963565535367495,0.09564534132024254,0.01361695857068804,0.0,0.0,0.10200647817582056,0.0035575113645056732,0.001361164752429439,0.0038686240213235447,0.014761228475921175,0.00513576546133498,0.00666206502066433,0.0039361782285794525,0.011345764658710492,0.012921532268995433,0.003791833865760925,0.0,0.0,0.007905924177448748,0.0016774464042896202,0.0023958149449645172,0.027283526151665398,0.0024119784086595554,0.003701099315982981,0.023211701705812837,0.0,0.011223643323601321,0.010372157411406846,0.0014406905776844549,0.0,0.006850419416831692,0.004990049303663312,0.002412468607935698,0.00406003887058114,0.002763749145921588,0.0473249961179248,0.0018550246547689216,0.003786610110394535,0.012109391225438741,0.0007545765165963958,0.00537021574911342,0.001666989580340875,0.03244833179129745,0.0075853014169479935,0.011007432025622831,0.00515320791799968,0.005184094808520009,0.006515926679625391,0.002397856769119023,0.0,0.002958189195266566,0.002363467898406579,0.009102352541699728,0.010678954667598828,0.0021049695458407658,0.0042293611754297,0.005363186000389047,0.10113665588541226,0.00039360565616353317,0.013972798259226017,0.001252010225492315,0.0031716362152201362,0.016282530605511204,0.009494378051290473,0.0022977796379688763,0.003665530323675983,0.004158662757496578,0.006441194884168065,0.020454265197259305,0.015770473638419127,0.0,0.011113193569356956,0.005581317452888807,0.004551571122577367,0.0,0.005990326967884,0.0,0.0,0.0049320348215319615,0.0052760376841669175,0.010315101892357757,0.002143218538231699,0.006522568410897535,0.01254711184379689,0.0004398573396766101,0.003841348083507997,0.006156752599412948,0.0066542207696445544,0.008890253544440046,0.009128866357786057,0.002560575683195531,0.0,0.003678971421546244,0.005405299583353547
