m,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CDW,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DOCU,DLTR,EBAY,EA,EXC,EXPE,FB,FAST,FISV,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KLAC,KHC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,PDD,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,XLNX
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25012259799983066,0.0,0.11375807105291348,0.0,0.19169220616295296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2898692800135325,0.0,0.1545578447707702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.10107942442492479,0.0,0.13062393741220166,0.0,0.0,0.0,0.1470743144500967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06931347370884673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08464077652357874,0.0,0.0,0.0,0.0,0.0,0.0,0.05127837307171326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1599450456622899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12077558173624185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09883056458685556,0.0,0.0,0.0,0.0,0.0,0.03643850842325089,0.0,0.0,0.0,0.0
20,0.0,0.02883857013571281,0.0,0.0,0.0,0.09042414857134014,0.0,0.09358606693562371,0.03216027286638512,0.0,0.0,0.11629526494362726,0.0,0.0,0.0,0.04074373333325725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040625163837641275,0.0,0.0,0.04331781506371734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024126517619976782,0.0,0.0,0.060732411201976026,0.0,0.0,0.05746223760029419,0.0,0.0,0.0,0.03831447773831045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044499117215715096,0.0,0.0,0.01820547573692014,0.11620137174394493,0.0,0.053866873106214984,0.0,0.0,0.017119094255391678,0.0,0.0,0.0,0.0,0.0,0.045354577396108146,0.0,0.0,0.016238321381872145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021888489315970417
30,0.0,0.02670164875843961,0.008000477669156982,0.0,0.0,0.0912522989773163,0.0,0.10114429552584897,0.0,0.0,0.0,0.11750624849639056,0.0,0.0,0.0,0.044984435443880845,0.0072106477713419015,0.009510290017138186,0.0,0.019157470479820162,0.01692448059374406,0.0,0.0,0.0,0.0,0.0,0.0,0.03227523628988434,0.02398502103774637,0.0,0.02909294807617969,0.0,0.0335636991658482,0.014949300314514524,0.0,0.0,0.0,0.0,0.00787124409122891,0.0,0.0,0.04898560083713308,0.0,0.0,0.03119229225357021,0.0,0.0,0.0,0.03664215587561037,0.0,0.019215962137694755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017811897959942098,0.09212140967108831,0.0,0.04269432261398834,0.0,0.0,0.027349670458949482,0.0,0.010541419638412933,0.0,0.0,0.0,0.032074918174740515,0.0,0.0,0.009552928540637634,0.013400786385267833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02556726546771644,0.0,0.0,0.0,0.0,0.0,0.008719627276768343,0.0,0.0,0.0,0.0
40,0.0,0.02813350319457654,0.0,0.0,0.0,0.0,0.08493280955007373,0.0998049303802215,0.019415807068959238,0.0,0.0,0.10487159055622014,0.011022617954687687,0.0,0.0,0.029757272707478574,0.009020605866373238,0.007346810618211231,0.0,0.012424729930491447,0.017295132176502106,0.0,0.0,0.0,0.0,0.0,0.0,0.032288043141477464,0.0,0.0,0.03177550704566069,0.0,0.013004518642127599,0.0,0.0,0.0,0.005499564166533507,0.012191352699639547,0.00881940532421631,0.0,0.0,0.05450507314727601,0.0,0.0,0.017580021210239227,0.0,0.0,0.0,0.028966947942869248,0.0,0.015836653411513024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012166460161607568,0.028704272121004785,0.0,0.0,0.011917027221490233,0.08662039659197338,0.0,0.01915646479085245,0.0,0.0,0.018633019309093873,0.011869798407521724,0.0,0.0,0.01041422822011785,0.017778454305703444,0.02804597095661397,0.03411435519907313,0.0,0.008885535581294929,0.0,0.0,0.0,0.00995848326024879,0.0,0.0,0.0,0.0,0.0,0.0,0.006137110626963742,0.0,0.0,0.0049630003579692345,0.01735866767069034,0.0,0.01477755485734778,0.0070767957976340685,0.0,0.0,0.0,0.006929507827450589
50,0.0,0.024798608364599267,0.0,0.0,0.0,0.0,0.08221907663451168,0.09749448446603944,0.016660373822336216,0.0,0.0,0.10419386628917479,0.008579489727835806,0.00695086454221817,0.0,0.016907170491172678,0.00853981536302463,0.007127166940510185,0.004599735913827286,0.014305641244047844,0.016065319461203566,0.009326476305884374,0.0,0.0,0.008371223586953434,0.0,0.0,0.03049781778442976,0.0,0.0,0.022882565777769027,0.0,0.012661703779896618,0.011080694021636337,0.0028903044835369186,0.0,0.005101635367542151,0.0,0.004880699788911273,0.0,0.004734788356234904,0.05545752773453719,0.0,0.005485390122763065,0.020319228866754704,0.0,0.006692613502653704,0.0,0.030452568731675435,0.0,0.006188792352123831,0.0058285433242822576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011315311138842604,0.0,0.0,0.011803477010930348,0.10421222993058973,0.0,0.01999158016164448,0.0,0.0,0.014878709875503231,0.01028407063973033,0.0,0.010099111736290642,0.0,0.021659204611772117,0.020526202034870544,0.02013011524405509,0.0,0.008658334637135645,0.0,0.011740787013865623,0.0,0.0,0.0,0.0,0.0,0.0,0.01056000327381575,0.0,0.007552499634806703,0.017699275568735448,0.0,0.0036231464437870373,0.01588737741223732,0.0,0.010711722978180292,0.012124788948225345,0.0,0.0,0.0,0.005247864556895214
60,0.0034857369021491706,0.02208454852944495,0.003954850456357887,0.0,0.0,0.08427893095185995,0.0,0.10032844156496111,0.012394854563186623,0.0,0.0,0.10406584510597044,0.0,0.0,0.006797369446950718,0.016634232263017294,0.006888663435018936,0.006551342540853757,0.005260851015808511,0.007092488347034394,0.01334969284311625,0.0,0.0,0.0,0.008215480136024453,0.0,0.005130412621337467,0.027672171035546703,0.0,0.0,0.02541035846379777,0.0,0.01426126349883935,0.014172100989126152,0.001715199433522955,0.0,0.007401931803185314,0.009739562202492223,0.0025473841682540593,0.0,0.005350255413612542,0.04840354100106196,0.0,0.004713309117246457,0.015823452896421588,0.0,0.00595848928777968,0.0,0.03130804344948236,0.011573028793636237,0.015343606239740971,0.003319897798673663,0.0,0.005097901919303032,0.010582345563174113,0.0,0.00342808645900489,0.0,0.005679449066013995,0.016005943309523183,0.0021764336093567523,0.0,0.005934098344322959,0.09620318881203174,0.0,0.01581603860340362,0.0,0.0036334448159690896,0.016365176297125916,0.009660639465784692,0.0,0.008665638123763256,0.0,0.0,0.02074687475671808,0.01870452522278369,0.0,0.014074427503600198,0.006911717124390231,0.0,0.0,0.007428733333100129,0.0,0.0,0.013380155715308156,0.0,0.00774111864890213,0.0,0.0058156803177446875,0.012746498333917208,0.0,0.004960601744935828,0.009745457685369087,0.0,0.010012899721257022,0.010148906365165593,0.0,0.0,0.0,0.007106682822518859
70,0.0034689711255366587,0.019504911639013727,0.004461454697026008,0.003292416740413051,0.0,0.03644090882669247,0.04926817114019746,0.09928273780079819,0.013923092157425463,0.0,0.0,0.10139300320298383,0.005020958334263835,0.0033034742964184512,0.0032268068759926005,0.018902193935411035,0.003997384776753156,0.006217324179156321,0.005207786484291411,0.013616990218485635,0.014141973335742783,0.005606759216584287,0.0,0.0,0.006397284480842696,0.0,0.0,0.02592265618004834,0.004406688975565727,0.0,0.024855738310168164,0.0,0.013479437670455523,0.0106966297943056,0.0,0.0,0.006061768730176454,0.007378602899875535,0.0018132405049007818,0.005443041043350988,0.0,0.05073077589172991,0.0,0.0,0.012537161437204148,0.0,0.00564622081541953,0.0,0.03215272027138033,0.007883748078961132,0.011441303498640696,0.0056184348611244776,0.005674007924924628,0.0056397671342403545,0.0,0.0,0.001232181967590215,0.00322967602332341,0.009953130848755471,0.010802753721564928,0.0,0.004757529280500176,0.00607276299038721,0.09796730389014935,0.0,0.017035955709039492,0.0,0.0017928606254024862,0.017810739788154003,0.009070674481545225,0.0026073145503157013,0.00519239631029203,0.0,0.009175849882730586,0.01963997707620104,0.01699179857798395,0.0,0.01177536565453323,0.0069459648430090955,0.005812005726831957,0.0,0.00708863739853101,0.0,0.0,0.005533865337410722,0.0,0.009133229039094321,0.002354939374665147,0.006671299263477497,0.01343897788711139,0.0,0.00291928512745938,0.008890223684255768,0.005357297495856048,0.00863007017718798,0.01006651944239027,0.003218875382467443,0.0,0.0,0.004773990955282241
80,0.003119612950547153,0.017842007035122755,0.0035656414909966353,0.0012757654242159,0.0,0.05711801391892683,0.02801164681674219,0.09618419211546402,0.014268809685805068,0.0,0.0,0.10258252093099911,0.004064347106986049,0.002596977115864068,0.0034060345526320873,0.014885552358096906,0.005871447372813384,0.00679156154667828,0.0044435415421701634,0.013505240177917202,0.01252342127980815,0.0043086700987582036,0.0,0.0,0.008814929719020446,0.0,0.0022655702710787946,0.02721185569563968,0.0020569776400959938,0.0033615264945760642,0.02451082846070913,0.0,0.013688697767044703,0.010501194684580497,0.0021775051217827694,0.0,0.006194302047638591,0.006540596163873191,0.0024588223234318107,0.0034928386696362443,0.003175322049912059,0.04808449591668679,0.0023059359989180926,0.003954258588817795,0.012997663388846212,0.0,0.006339260786152392,0.001922479722389304,0.03199521443913689,0.007701080063363523,0.010375800758614039,0.004729333199532138,0.0037368921975526785,0.006575307881516823,0.0033286451968581967,0.0,0.003241412611052874,0.002126667996496361,0.007573349833803359,0.01175559358362983,0.0020566425373770222,0.0039056901398491586,0.006154740727894005,0.10387253642139492,0.0,0.013648631425749864,0.0,0.00270569726785569,0.014968107746778312,0.009534380210539687,0.0,0.00463160019823344,0.002141624556863628,0.007309067671415377,0.018755675430686982,0.017555273581510787,0.0,0.01092667973939324,0.005648086677210013,0.005083531974094849,0.0,0.005656143139331933,0.0,0.0,0.004368082949705127,0.003859410193415998,0.010894498688056042,0.0029305976366180396,0.006805321038655357,0.012909090015061978,0.0,0.004053803024216778,0.007080887479617211,0.0056981662980196785,0.007781139176898906,0.00924714849816613,0.00262509240698791,0.0,0.0,0.005633290355470637
90,0.0042398184230705285,0.01714743455484694,0.00403023945130279,0.002460726339855615,0.0,0.056994386513923974,0.02963565535367495,0.09564534132024254,0.01361695857068804,0.0,0.0,0.10200647817582056,0.0035575113645056732,0.001361164752429439,0.0038686240213235447,0.014761228475921175,0.00513576546133498,0.00666206502066433,0.0039361782285794525,0.011345764658710492,0.012921532268995433,0.003791833865760925,0.0,0.0,0.007905924177448748,0.0016774464042896202,0.0023958149449645172,0.027283526151665398,0.0024119784086595554,0.003701099315982981,0.023211701705812837,0.0,0.011223643323601321,0.010372157411406846,0.0014406905776844549,0.0,0.006850419416831692,0.004990049303663312,0.002412468607935698,0.00406003887058114,0.002763749145921588,0.0473249961179248,0.0018550246547689216,0.003786610110394535,0.012109391225438741,0.0007545765165963958,0.00537021574911342,0.001666989580340875,0.03244833179129745,0.0075853014169479935,0.011007432025622831,0.00515320791799968,0.005184094808520009,0.006515926679625391,0.002397856769119023,0.0,0.002958189195266566,0.002363467898406579,0.009102352541699728,0.010678954667598828,0.0021049695458407658,0.0042293611754297,0.005363186000389047,0.10113665588541226,0.00039360565616353317,0.013972798259226017,0.001252010225492315,0.0031716362152201362,0.016282530605511204,0.009494378051290473,0.0022977796379688763,0.003665530323675983,0.004158662757496578,0.006441194884168065,0.020454265197259305,0.015770473638419127,0.0,0.011113193569356956,0.005581317452888807,0.004551571122577367,0.0,0.005990326967884,0.0,0.0,0.0049320348215319615,0.0052760376841669175,0.010315101892357757,0.002143218538231699,0.006522568410897535,0.01254711184379689,0.0004398573396766101,0.003841348083507997,0.006156752599412948,0.0066542207696445544,0.008890253544440046,0.009128866357786057,0.002560575683195531,0.0,0.003678971421546244,0.005405299583353547
